Fiscal Year,Month,Region,Affiliate,Channel,Sub-Channel,Brand,Sub-Brand,Gender,Category,FX Type,Net Revenue,Units Sold,Inventory
2021,November,Americas,Canada,DTC,Outlet,Levis,Levis Mens,Mens,Footwear,2021 Actual Rate,174265.00,6971.00,8156.00
2021,November,Americas,Canada,Wholesale,Franchise,Dockers,,Mens,Bottoms,2021 Actual Rate,158751.00,6615.00,8136.00
2021,November,Americas,Canada,Wholesale,Franchise,Levis,Levis Womens,Womens,Bottoms,2021 Actual Rate,157717.00,5439.00,6689.00
2021,November,Americas,Canada,DTC,Mainline,Levis,Levis Womens,Womens,Accessories,2021 Actual Rate,164766.00,5885.00,7003.00
2021,November,Americas,US,DTC,Concessionaire,Denizen,,Mens,Tops,2021 Actual Rate,188093.00,6718.00,8263.00
2021,November,Americas,US,Wholesale,Franchise,Dockers,,Womens,Tops,2021 Actual Rate,155531.00,5184.00,6480.00
2021,November,Americas,US,Wholesale,Franchise,Dockers,,Womens,Bottoms,2021 Actual Rate,186901.00,8900.00,9790.00
2021,November,Americas,US,Wholesale,Franchise,Levis,Levis Womens,Womens,Bottoms,FCST7 Rate,195159.00,8871.00,10822.00
2021,November,Beyond Yoga,Beyond Yoga,Wholesale,Wholesale,Beyond Yoga,,,,2021 Actual Rate,172010.00,10118.00,10725.00
2021,November,Europe,Germany,Wholesale,Franchise,Denizen,,Mens,Tops,FCST4 Rate,163103.00,7414.00,7859.00
2021,November,Europe,Germany,Wholesale,Licensing,Levis,Levis Mens,Mens,Tops,FCST7 Rate,178689.00,8934.00,10007.00
2021,November,Europe,Germany,Wholesale,Franchise,Levis,Levis Mens,Mens,Bottoms,FCST10 Rate,183678.00,6803.00,8231.00
2021,November,Europe,France,Wholesale,Franchise,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,180324.00,10018.00,10519.00
2021,November,Europe,France,Wholesale,Wholesale,Levis,Levis Womens,Womens,Bottoms,FCST7 Rate,161495.00,5768.00,6691.00
2021,November,Europe,France,DTC,Ecomm,Levis,Levis Mens,Mens,Accessories,FCST7 Rate,173836.00,5994.00,7253.00
2021,November,Europe,France,DTC,Ecomm,Levis,Levis Mens,Mens,Bottoms,2021 Actual Rate,170484.00,7104.00,8382.00
2021,November,Europe,France,DTC,Commissionaire,Denizen,,Mens,Accessories,2021 Actual Rate,168033.00,8002.00,8802.00
2021,November,Asia,Singapore,Wholesale,Franchise,Denizen,,Womens,Bottoms,2021 Actual Rate,157803.00,5636.00,6763.00
2021,November,Beyond Yoga,Beyond Yoga,DTC,Mainline,Beyond Yoga,,,,2021 Actual Rate,191380.00,7655.00,9339.00
2021,November,Asia,Singapore,DTC,Ecomm,Levis,Levis Mens,Mens,Tops,2021 Actual Rate,165034.00,6112.00,7151.00
2021,November,Asia,Singapore,Wholesale,Franchise,Levis,Levis Mens,Mens,Tops,FCST4 Rate,198898.00,9945.00,10939.00
2021,November,Asia,Singapore,Wholesale,Franchise,Levis,Levis Mens,Mens,No Product Category,2021 Actual Rate,171246.00,9013.00,10906.00
2021,November,Asia,China,Wholesale,Franchise,Levis,Levis Womens,Womens,Footwear,FCST10 Rate,153664.00,6681.00,7349.00
2021,November,Asia,China,Wholesale,Franchise,Signature,,Womens,Accessories,2021 Actual Rate,170852.00,6834.00,7244.00
2021,November,Asia,China,DTC,Ecomm,Levis,Levis Mens,Mens,Tops,FCST7 Rate,186748.00,9337.00,10458.00
2021,November,Asia,China,DTC,Outlet,Denizen,,Womens,Accessories,FCST7 Rate,174083.00,9162.00,10811.00
2021,November,Beyond Yoga,Beyond Yoga,DTC,Ecomm,Beyond Yoga,,,,2021 Actual Rate,160880.00,6995.00,7554.00
2021,October,Americas,Canada,Wholesale,Franchise,Signature,,Womens,Tops,2021 Actual Rate,180752.00,8216.00,8873.00
